"dep","dur","mem","temp","prec","rushhour","rushhour_combined","time","doy","hour","weekday_dummy","month","dur_min_bin","weekend","dur_boxcox"
2021-09-14 14:40:31,551,"Member",16.7,0,"NonPeak","Non-Rush Hour","14:40:31","09-14","14",1,"Sep",9,"0",8.82919858490827
2021-09-28 22:05:24,302,"Member",10.5,1,"NonPeak","Non-Rush Hour","22:05:24","09-29","22",1,"Sep",5,"0",7.72547972867943
2021-09-14 18:24:46,455,"Member",16.7,0,"PM","Rush Hour","18:24:46","09-14","18",1,"Sep",7,"0",8.47050919431494
2021-09-14 15:43:33,303,"Member",16.7,0,"PM","Rush Hour","15:43:33","09-14","15",1,"Sep",5,"0",7.73136617624354
2021-09-28 16:47:57,419,"Member",10.5,1,"PM","Rush Hour","16:47:57","09-28","16",1,"Sep",6,"0",8.31819297200274
2021-09-21 18:56:38,1945,"Member",20.2,0,"PM","Rush Hour","18:56:38","09-21","18",1,"Sep",32,"0",11.374006920352
2021-09-28 17:57:15,400,"Member",10.5,1,"PM","Rush Hour","17:57:15","09-28","17",1,"Sep",6,"0",8.23299480617412
2021-10-12 08:33:43,1067,"Member",18.5,0,"AM","Rush Hour","08:33:43","10-12","08",1,"Oct",17,"0",10.1221351467718
2021-10-26 07:06:21,1584,"Member",9.6,1,"AM","Rush Hour","07:06:21","10-26","07",1,"Oct",26,"0",10.937364476928
2021-10-12 08:50:15,1581,"Member",18.5,0,"AM","Rush Hour","08:50:15","10-12","08",1,"Oct",26,"0",10.9333747453396
2021-10-12 09:56:24,820,"Member",18.5,0,"AM","Rush Hour","09:56:24","10-12","09",1,"Oct",13,"0",9.59664240250923
2021-10-26 06:29:15,897,"Member",9.6,1,"AM","Rush Hour","06:29:15","10-26","06",1,"Oct",14,"0",9.77419889432184
2021-10-12 14:47:44,268,"Member",18.5,0,"NonPeak","Non-Rush Hour","14:47:44","10-12","14",1,"Oct",4,"0",7.51411208351132
2021-10-05 19:31:06,939,"Member",13.1,0,"NonPeak","Non-Rush Hour","19:31:06","10-05","19",1,"Oct",15,"0",9.86534714250757
2021-10-05 19:01:05,249,"Member",13.1,0,"NonPeak","Non-Rush Hour","19:01:05","10-05","19",1,"Oct",4,"0",7.3852447254819
2021-10-26 14:31:13,720,"Member",9.6,1,"NonPeak","Non-Rush Hour","14:31:13","10-26","14",1,"Oct",12,"0",9.34219620585249
2021-10-05 13:11:47,226,"Member",13.1,0,"NonPeak","Non-Rush Hour","13:11:47","10-05","13",1,"Oct",3,"0",7.21685319209683
2021-10-12 17:04:43,373,"Member",18.5,0,"PM","Rush Hour","17:04:43","10-12","17",1,"Oct",6,"0",8.10544102612196
2021-10-05 17:20:06,342,"Member",13.1,0,"PM","Rush Hour","17:20:06","10-05","17",1,"Oct",5,"0",7.94832344324137
2021-10-05 15:48:06,91,"Member",13.1,0,"PM","Rush Hour","15:48:06","10-05","15",1,"Oct",1,"0",5.71414339710635
2021-10-26 16:48:00,700,"Member",9.6,1,"PM","Rush Hour","16:48:00","10-26","16",1,"Oct",11,"0",9.287519535977
2021-10-12 15:15:10,312,"Member",18.5,0,"PM","Rush Hour","15:15:10","10-12","15",1,"Oct",5,"0",7.78357228718978
2021-05-19 08:41:43,759,"Member",19.2,0,"AM","Rush Hour","08:41:43","05-19","08",1,"May",12,"0",9.44499880877305
2021-05-19 07:43:09,331,"Member",19.2,0,"AM","Rush Hour","07:43:09","05-19","07",1,"May",5,"0",7.88948087104134
2021-05-12 08:39:19,256,"Member",12,0,"AM","Rush Hour","08:39:19","05-12","08",1,"May",4,"0",7.43371919518754
2021-05-12 08:51:31,966,"Member",12,0,"AM","Rush Hour","08:51:31","05-12","08",1,"May",16,"0",9.92202573509389
2021-05-19 08:38:31,696,"Member",19.2,0,"AM","Rush Hour","08:38:31","05-19","08",1,"May",11,"0",9.27641593857183
2021-05-05 20:06:50,1052,"Member",10.7,1,"NonPeak","Non-Rush Hour","20:06:50","05-06","20",1,"May",17,"0",10.0935222226091
2021-05-05 14:31:51,393,"Member",10.7,1,"NonPeak","Non-Rush Hour","14:31:51","05-05","14",1,"May",6,"0",8.20068656735719
2021-05-19 12:35:37,576,"Member",19.2,0,"NonPeak","Non-Rush Hour","12:35:37","05-19","12",1,"May",9,"0",8.91333325172128
2021-05-19 10:35:49,1184,"Member",19.2,0,"NonPeak","Non-Rush Hour","10:35:49","05-19","10",1,"May",19,"0",10.3336745603443
2021-05-19 19:21:23,3511,"Member",19.2,0,"NonPeak","Non-Rush Hour","19:21:23","05-19","19",1,"May",58,"0",12.6818501316382
2021-05-26 17:01:24,825,"Member",24,1,"PM","Rush Hour","17:01:24","05-26","17",1,"May",13,"0",9.60861789579834
2021-05-26 18:52:13,1979,"Member",24,1,"PM","Rush Hour","18:52:13","05-26","18",1,"May",32,"0",11.411279122275
